target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	673.788	46.3053	2.91753
FBtr0070126	935	739.788	10093.7	579.231
FBtr0070128	913	717.788	337.412	19.9559
FBtr0070124	1472	1276.79	41.1673	1.3688
FBtr0070127	1050	854.788	923.502	45.8656
FBtr0100530	1544	1348.79	611.442	19.245
FBtr0345314	826	630.851	0	0
FBtr0070123	1087	891.788	1047.92	49.8853
FBtr0070125	845	649.788	3932.52	256.925
FBtr0305494	2809	2613.79	41.4703	0.673557
FBtr0070898	1785	1589.79	97.7764	2.61097
FBtr0076372	804	608.851	49	3.41658
FBtr0083376	1088	892.788	1355.66	64.4628
FBtr0337064	1216	1020.79	351.157	14.604
FBtr0333082	779	583.851	7.92512	0.57625
FBtr0333081	1394	1198.79	50.0987	1.77416
FBtr0076896	792	596.851	470.132	33.4396
FBtr0343759	1362	1166.79	0	0
FBtr0070134	1236	1040.79	633	25.8196
FBtr0081133	2859	2663.79	838	13.3552
FBtr0084716	2511	2315.79	2786	51.0728
FBtr0333157	812	616.851	0	0
FBtr0073653	818	622.851	248	16.9034
FBtr0310000	4225	4029.79	0	0
FBtr0310001	5111	4915.79	1436.37	12.4046
FBtr0273391	3923	3727.79	0	0
FBtr0079344	4776	4580.79	253.017	2.34486
FBtr0343867	5007	4811.79	0	0
FBtr0307033	5383	5187.79	546.983	4.47609
FBtr0344520	3428	3232.79	160.294	2.10498
FBtr0332869	727	531.909	11.6189	0.92733
FBtr0100555	3231	3035.79	67.4405	0.943098
FBtr0100880	291	124.711	103	35.0623
FBtr0077015	920	724.788	1438	84.2278
FBtr0290083	1202	1006.79	28	1.18067
FBtr0334766	1110	914.788	0	0
FBtr0303151	1687	1491.79	5	0.142289
FBtr0087231	1682	1486.79	0	0
FBtr0087232	1683	1487.79	4028	114.936
FBtr0074346	819	623.851	0	0
FBtr0073202	1947	1751.79	2809	68.0734
FBtr0332429	472	281.268	4647	701.39
FBtr0070682	696	501.013	801	67.8721
FBtr0087075	1378	1182.79	178	6.38882
FBtr0340004	2017	1821.79	28.778	0.67061
FBtr0087339	1579	1383.79	18.5036	0.567667
FBtr0290211	640	445.292	3.0163	0.287566
FBtr0344291	631	436.468	7.95018	0.773271
FBtr0083632	970	774.788	186.268	10.2062
FBtr0304675	3624	3428.79	554.47	6.86507
FBtr0076343	4274	4078.79	5322.77	55.4005
FBtr0332249	2849	2653.79	214	3.42338
FBtr0076210	1891	1695.79	1280	32.0439
FBtr0333497	2167	1971.79	0	0
FBtr0333500	2649	2453.79	41.2592	0.713824
FBtr0333494	2593	2397.79	156.645	2.77341
FBtr0333507	2913	2717.79	0	0
FBtr0333496	2039	1843.79	9.32625	0.214735
FBtr0333504	2886	2690.79	0	0
