target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	675.92	68.5701	3.71119
FBtr0070126	935	741.92	10351.4	510.404
FBtr0070128	913	719.92	350.014	17.7859
FBtr0070124	1472	1278.92	56.2182	1.60808
FBtr0070127	1050	856.92	988.924	42.2178
FBtr0100530	1544	1350.92	651.155	17.6331
FBtr0345314	826	632.92	0	0
FBtr0070123	1087	893.92	1154.05	47.2281
FBtr0070125	845	651.92	4307.69	241.726
FBtr0305494	2809	2615.92	8.79372	0.122976
FBtr0070898	1785	1591.92	153.649	3.53086
FBtr0076372	804	610.92	62	3.71262
FBtr0083376	1088	894.92	1531.48	62.6037
FBtr0337064	1216	1022.92	234.221	8.37639
FBtr0333082	779	585.92	3.92925	0.245327
FBtr0333081	1394	1200.92	52.1707	1.58923
FBtr0076896	792	598.92	517.052	31.5819
FBtr0343759	1362	1168.92	15.5341	0.486156
FBtr0070134	1236	1042.92	790.506	27.7286
FBtr0081133	2859	2665.92	756	10.374
FBtr0084716	2511	2317.92	3014	47.5683
FBtr0333157	812	618.92	5.64835	0.333857
FBtr0073653	818	624.92	270.352	15.8262
FBtr0310000	4225	4031.92	0	0
FBtr0310001	5111	4917.92	1777.09	13.2191
FBtr0273391	3923	3729.92	0	0
FBtr0079344	4776	4582.92	432.051	3.44878
FBtr0343867	5007	4813.92	20.8395	0.158366
FBtr0307033	5383	5189.92	701.109	4.94195
FBtr0344520	3428	3234.92	131.367	1.48558
FBtr0332869	727	533.975	0	0
FBtr0100555	3231	3037.92	106.133	1.27804
FBtr0100880	291	124.857	109	31.9365
FBtr0077015	920	726.92	1437	72.3175
FBtr0290083	1202	1008.92	53	1.92173
FBtr0334766	1110	916.92	0	0
FBtr0303151	1687	1493.92	10	0.244876
FBtr0087231	1682	1488.92	0	0
FBtr0087232	1683	1489.92	4756	116.776
FBtr0074346	819	625.92	6	0.350676
FBtr0073202	1947	1753.92	3163	65.9725
FBtr0332429	472	283.473	6835	882.064
FBtr0070682	696	502.975	920.634	66.9598
FBtr0087075	1378	1184.92	210.154	6.48817
FBtr0340004	2017	1823.92	26.2103	0.525702
FBtr0087339	1579	1385.92	28.8457	0.761405
FBtr0290211	640	447.167	4.90549	0.401315
FBtr0344291	631	438.256	38.4258	3.20751
FBtr0083632	970	776.92	174.321	8.20819
FBtr0304675	3624	3430.92	1082.89	11.5464
FBtr0076343	4274	4080.92	5027.95	45.072
FBtr0332249	2849	2655.92	320	4.40766
FBtr0076210	1891	1697.92	1303	28.0738
FBtr0333497	2167	1973.92	0	0
FBtr0333500	2649	2455.92	50.8473	0.757403
FBtr0333494	2593	2399.92	190.371	2.90187
FBtr0333507	2913	2719.92	0	0
FBtr0333496	2039	1845.92	0	0
FBtr0333504	2886	2692.92	0	0
FBtr0333509	5560	5366.92	0	0
FBtr0345690	7304	7110.92	1516.36	7.801
FBtr0333506	1695	1501.92	139.414	3.39573
FBtr0333502	4814	4620.92	0	0
FBtr0333495	4814	4620.92	0	0
FBtr0333508	3014	2820.92	81.5988	1.0582
FBtr0333503	3380	3186.92	54.4581	0.625121
FBtr0347552	5074	4880.92	516.445	3.87075
FBtr0333505	3620	3426.92	172.389	1.84026
FBtr0333499	2188	1994.92	40.1482	0.736231
FBtr0333498	2268	2074.92	12.1422	0.214076
FBtr0333501	7545	7351.92	62.2563	0.309782
FBtr0333493	5029	4835.92	37.5661	0.284178
FBtr0345689	7646	7452.92	127.002	0.623389
FBtr0087085	896	702.92	2	0.104087
FBtr0081328	2231	2037.92	81.8059	1.46849
FBtr0081329	2105	1911.92	2147.45	41.0891
FBtr0081330	2163	1969.92	418.283	7.76775
FBtr0306234	2310	2116.92	7.76119	0.134121
FBtr0071903	4682	4488.92	1344	10.9529
FBtr0306684	5786	5592.92	864	5.6513
FBtr0302596	5705	5511.92	0.000168575	1.11883e-06
FBtr0307272	1406	1212.92	573.619	17.3007
FBtr0071072	1129	935.92	48.3808	1.89107
FBtr0072906	1300	1106.92	333.779	11.031
FBtr0072908	1414	1220.92	796.547	23.867
FBtr0072907	1574	1380.92	1601.04	42.4137
FBtr0072905	1698	1504.92	705.636	17.153
FBtr0346727	1248	1054.92	61	2.11536
FBtr0089546	1998	1804.92	777	15.7484
FBtr0089641	4635	4441.92	0	0
FBtr0343159	4518	4324.92	26.3426	0.222819
FBtr0343160	7965	7771.92	1343.43	6.32354
FBtr0308688	3668	3474.92	3.93308	0.0414058
FBtr0070794	3341	3147.92	2012.06	23.3825
FBtr0070795	4509	4315.92	8547.29	72.4484
FBtr0308689	3179	2985.92	30.7149	0.376308
FBtr0081243	1196	1002.92	90.6241	3.3056
FBtr0331324	1357	1163.92	43.3759	1.36332
FBtr0074002	2975	2781.92	393.777	5.1782
FBtr0074001	3696	3502.92	2059.21	21.5053
FBtr0340433	3171	2977.92	0.0091347	0.000112216
FBtr0070065	2110	1916.92	2362.62	45.0882
FBtr0070064	2054	1860.92	1504.4	29.5739
FBtr0084008	1816	1622.92	1088	24.5248
FBtr0082924	1843	1649.92	70	1.55206
FBtr0084758	807	613.92	1563	93.1366
FBtr0307295	5425	5231.92	433.042	3.0279
FBtr0307292	5251	5057.92	0	0
FBtr0307294	6324	6130.92	3559.81	21.241
FBtr0307293	5425	5231.92	365.806	2.55778
FBtr0307291	6331	6137.92	1715.35	10.2236
FBtr0070109	5422	5228.92	0	0
FBtr0075346	3145	2951.92	258.949	3.20909
FBtr0333610	2227	2033.92	56.5803	1.01767
FBtr0344183	5389	5195.92	225.452	1.58732
FBtr0344177	3982	3788.92	149.141	1.43997
FBtr0344180	3939	3745.92	103.338	1.00919
FBtr0344176	2855	2661.92	544.441	7.48219
FBtr0344184	4895	4701.92	236.5	1.84005
FBtr0344178	5393	5199.92	910.302	6.40416
FBtr0344182	5562	5368.92	1298.77	8.84952
FBtr0344181	3939	3745.92	103.338	1.00919
FBtr0344179	4331	4137.92	257.715	2.27841
FBtr0333909	1095	901.92	0	0
FBtr0076548	1113	919.92	231	9.18618
FBtr0299561	856	662.92	1.25453e-08	6.92299e-10
FBtr0299560	845	651.92	3	0.168345
FBtr0331686	579	387.114	81.4466	7.69674
FBtr0083328	569	377.152	37.5534	3.64256
FBtr0331685	518	327.338	0	0
FBtr0334332	2186	1992.92	114.348	2.099
FBtr0081934	2064	1870.92	466.652	9.12455
FBtr0110941	5141	4947.92	3670.3	27.1364
FBtr0300996	1589	1395.92	103.7	2.71764
FBtr0080693	730	536.975	479	32.6328
FBtr0290134	10901	10707.9	5377	18.37
FBtr0113233	663	470.122	45	3.50167
FBtr0070445	1280	1086.92	0	0
FBtr0307159	1798	1604.92	482	10.9867
FBtr0336953	1755	1561.92	2	0.046843
FBtr0082323	1377	1183.92	216	6.67428
FBtr0089329	1986	1792.92	664	13.5482
FBtr0085149	1072	878.92	79.584	3.31245
FBtr0080391	1048	854.92	938.076	40.1408
FBtr0334761	1814	1620.92	0	0
FBtr0100125	905	711.92	1.03976e-06	5.34285e-08
FBtr0305263	953	759.92	45.8136	2.20546
FBtr0334762	1121	927.92	226.584	8.93289
FBtr0080389	1849	1655.92	1364.53	30.145
FBtr0080390	1765	1571.92	0	0
FBtr0081744	1864	1670.92	709	15.5226
FBtr0085056	1002	808.92	16469.8	744.827
FBtr0085055	1066	872.92	123.765	5.18677
FBtr0343829	4010	3816.92	117.702	1.12809
FBtr0081080	3783	3589.92	6640.3	67.6669
