target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	691.241	6.11929	9.06971
FBtr0070126	935	757.241	392.785	531.426
FBtr0070128	913	735.241	14.0527	19.5817
FBtr0070124	1472	1294.24	0	0
FBtr0070127	1050	872.241	28.8188	33.8502
FBtr0100530	1544	1366.24	19.1655	14.3719
FBtr0345314	826	648.241	0	0
FBtr0070123	1087	909.241	26.3004	29.6349
FBtr0070125	845	667.241	238.758	366.604
FBtr0305494	2809	2631.24	0	0
FBtr0070898	1785	1607.24	7	4.46209
FBtr0076372	804	626.241	1	1.63599
FBtr0083376	1088	910.241	51.9567	58.4799
FBtr0337064	1216	1038.24	40.5333	39.9977
FBtr0333082	779	601.241	0	0
FBtr0333081	1394	1216.24	0	0
FBtr0076896	792	614.241	25	41.6987
FBtr0343759	1362	1184.24	0	0
FBtr0070134	1236	1058.24	30	29.0441
FBtr0081133	2859	2681.24	22	8.40637
FBtr0084716	2511	2333.24	101	44.3489
FBtr0333157	812	634.241	0	0
FBtr0073653	818	640.241	15	24.0032
FBtr0310000	4225	4047.24	0	0
FBtr0310001	5111	4933.24	59.499	12.3566
FBtr0273391	3923	3745.24	0	0
FBtr0079344	4776	4598.24	0	0
FBtr0343867	5007	4829.24	0	0
FBtr0307033	5383	5205.24	42	8.26666
FBtr0344520	3428	3250.24	0	0
FBtr0332869	727	549.241	1.80655	3.36983
FBtr0100555	3231	3053.24	6.09673	2.04577
FBtr0100880	291	135.617	14	105.763
FBtr0077015	920	742.241	57	78.6776
FBtr0290083	1202	1024.24	1	1.00027
FBtr0334766	1110	932.241	0	0
FBtr0303151	1687	1509.24	0	0
FBtr0087231	1682	1504.24	0	0
FBtr0087232	1683	1505.24	183	124.557
FBtr0074346	819	641.241	1	1.59772
FBtr0073202	1947	1769.24	103	59.6447
FBtr0332429	472	296.356	273	943.78
FBtr0070682	696	518.241	42	83.0307
FBtr0087075	1378	1200.24	11	9.38957
FBtr0340004	2017	1839.24	2.211	1.2316
FBtr0087339	1579	1401.24	0	0
FBtr0290211	640	462.241	0	0
FBtr0344291	631	453.241	0	0
FBtr0083632	970	792.241	9.56213	12.3657
FBtr0304675	3624	3446.24	43.063	12.8021
FBtr0076343	4274	4096.24	168.708	42.196
FBtr0332249	2849	2671.24	21	8.0543
FBtr0076210	1891	1713.24	51	30.4981
FBtr0333497	2167	1989.24	8.13527	4.18992
FBtr0333500	2649	2471.24	0	0
FBtr0333494	2593	2415.24	5.56293	2.35974
FBtr0333507	2913	2735.24	0	0
FBtr0333496	2039	1861.24	1.20393	0.662703
FBtr0333504	2886	2708.24	0	0
FBtr0333509	5560	5382.24	0	0
FBtr0345690	7304	7126.24	65.454	9.41016
FBtr0333506	1695	1517.24	6.2431	4.21568
FBtr0333502	4814	4636.24	0	0
FBtr0333495	4814	4636.24	0	0
FBtr0333508	3014	2836.24	0	0
FBtr0333503	3380	3202.24	4.80843	1.5384
FBtr0347552	5074	4896.24	0	0
FBtr0333505	3620	3442.24	2.59234	0.771563
FBtr0333499	2188	2010.24	2.06235e-05	1.05108e-05
FBtr0333498	2268	2090.24	0	0
FBtr0333501	7545	7367.24	0	0
FBtr0333493	5029	4851.24	0	0
FBtr0345689	7646	7468.24	0	0
FBtr0087085	896	718.241	0	0
FBtr0081328	2231	2053.24	0	0
FBtr0081329	2105	1927.24	95.6575	50.8516
FBtr0081330	2163	1985.24	11.0979	5.7273
FBtr0306234	2310	2132.24	0	0
FBtr0071903	4682	4504.24	57	12.9651
FBtr0306684	5786	5608.24	4.77365e-07	8.72057e-08
FBtr0302596	5705	5527.24	27	5.00469
FBtr0307272	1406	1228.24	25	20.8534
FBtr0071072	1129	951.241	0	0
FBtr0072906	1300	1122.24	9.70768	8.86238
FBtr0072908	1414	1236.24	16.2521	13.4688
FBtr0072907	1574	1396.24	57.1894	41.964
FBtr0072905	1698	1520.24	30.8508	20.791
FBtr0346727	1248	1070.24	3	2.87185
FBtr0089546	1998	1820.24	35	19.6997
FBtr0089641	4635	4457.24	0	0
FBtr0343159	4518	4340.24	0	0
FBtr0343160	7965	7787.24	53	6.9729
FBtr0308688	3668	3490.24	0	0
FBtr0070794	3341	3163.24	98.4348	31.8814
FBtr0070795	4509	4331.24	359.565	85.0524
FBtr0308689	3179	3001.24	0	0
FBtr0081243	1196	1018.24	0	0
FBtr0331324	1357	1179.24	5	4.34399
FBtr0074002	2975	2797.24	8.02053	2.93761
FBtr0074001	3696	3518.24	43.5234	12.6742
FBtr0340433	3171	2993.24	58.456	20.0082
FBtr0070065	2110	1932.24	34.5043	18.295
FBtr0070064	2054	1876.24	95.0912	51.9246
FBtr0084008	1816	1638.24	43	26.8913
FBtr0082924	1843	1665.24	6	3.69144
FBtr0084758	807	629.241	51	83.0376
FBtr0307295	5425	5247.24	13.7426	2.68325
FBtr0307292	5251	5073.24	0	0
FBtr0307294	6324	6146.24	159.374	26.5662
FBtr0307293	5425	5247.24	16.1135	3.14615
FBtr0307291	6331	6153.24	34.77	5.78925
FBtr0070109	5422	5244.24	0	0
FBtr0075346	3145	2967.24	13.0595	4.50916
FBtr0333610	2227	2049.24	0	0
FBtr0344183	5389	5211.24	51.4098	10.1071
FBtr0344177	3982	3804.24	9.94183	2.67744
FBtr0344180	3939	3761.24	0	0
FBtr0344176	2855	2677.24	21.8934	8.37813
FBtr0344184	4895	4717.24	3.27914	0.712187
FBtr0344178	5393	5215.24	0	0
FBtr0344182	5562	5384.24	31.1228	5.92209
FBtr0344181	3939	3761.24	0	0
FBtr0344179	4331	4153.24	11.3531	2.80058
FBtr0333909	1095	917.241	0	0
FBtr0076548	1113	935.241	4	4.38185
FBtr0299561	856	678.241	0	0
FBtr0299560	845	667.241	0	0
FBtr0331686	579	401.535	4	10.2061
FBtr0083328	569	391.654	0	0
FBtr0331685	518	341.238	0	0
FBtr0334332	2186	2008.24	0	0
FBtr0081934	2064	1886.24	29	15.7515
FBtr0110941	5141	4963.24	124.391	25.677
FBtr0300996	1589	1411.24	1.60927	1.16829
FBtr0080693	730	552.241	18	33.3938
FBtr0290134	10901	10723.2	164	15.6689
FBtr0113233	663	485.241	3	6.3341
FBtr0070445	1280	1102.24	5.36061	4.98263
FBtr0307159	1798	1620.24	15.6394	9.88921
FBtr0336953	1755	1577.24	0	0
FBtr0082323	1377	1199.24	7	5.98016
FBtr0089329	1986	1808.24	23	13.0315
FBtr0085149	1072	894.241	2.06342	2.36404
FBtr0080391	1048	870.241	25.4546	29.9674
FBtr0334761	1814	1636.24	0	0
FBtr0100125	905	727.241	8.66723	12.2102
FBtr0305263	953	775.241	0.2991	0.395276
FBtr0334762	1121	943.241	16.9894	18.4534
FBtr0080389	1849	1671.24	34.5897	21.2045
FBtr0080390	1765	1587.24	0	0
FBtr0081744	1864	1686.24	20	12.1516
FBtr0085056	1002	824.241	303.527	377.281
FBtr0085055	1066	888.241	0	0
FBtr0343829	4010	3832.24	0	0
FBtr0081080	3783	3605.24	243	69.0547
FBtr0081701	830	652.241	0	0
FBtr0087952	2048	1870.24	48.1963	26.4021
FBtr0273406	514	337.34	4.85342	14.7402
FBtr0305913	1650	1472.24	6.10888	4.25113
FBtr0273320	1409	1231.24	3.89112	3.23782
FBtr0305958	822	644.241	0	0
FBtr0112367	401	230.408	19	84.4845
FBtr0073208	1072	894.241	2	2.29138
FBtr0074260	997	819.241	0	0
FBtr0070832	957	779.241	5	6.57385
FBtr0113156	1331	1153.24	0	0
FBtr0076360	596	418.413	2.22907	5.45809
FBtr0083546	1468	1290.24	0	0
FBtr0081965	1575	1397.24	40	29.3299
FBtr0304865	4033	3855.24	21.016	5.58495
FBtr0304867	4472	4294.24	36.984	8.82367
FBtr0078662	2088	1910.24	31.1777	16.7216
FBtr0114518	2144	1966.24	0	0
FBtr0078664	2368	2190.24	7.82229	3.65901
FBtr0078661	2289	2111.24	0	0
FBtr0078663	2209	2031.24	0	0
FBtr0308064	274	121.869	9	75.6609
FBtr0333547	2505	2327.24	0	0
FBtr0333546	2211	2033.24	0	0
FBtr0070027	2221	2043.24	9	4.51278
FBtr0082315	2659	2481.24	8	3.30326
FBtr0112789	3223	3045.24	0	0
FBtr0300704	1885	1707.24	0	0
FBtr0113705	2134	1956.24	53.2771	27.9023
FBtr0344847	1907	1729.24	25.0811	14.8598
FBtr0300702	1875	1697.24	0	0
FBtr0300703	2196	2018.24	8.49794	4.31382
FBtr0113704	2144	1966.24	206.144	107.413
FBtr0344118	2561	2383.24	0	0
FBtr0084910	2101	1923.24	0	0
FBtr0084911	2164	1986.24	13.2364	6.82747
FBtr0300819	2782	2604.24	0	0
FBtr0300820	2422	2244.24	0	0
FBtr0084909	2566	2388.24	23.7636	10.1943
