target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	673.036	44.5369	3.24388
FBtr0070126	935	739.036	11510.6	763.51
FBtr0070128	913	717.036	338.553	23.1456
FBtr0070124	1472	1276.04	59.7709	2.2962
FBtr0070127	1050	854.036	1117.36	64.1355
FBtr0100530	1544	1348.04	777.075	28.2582
FBtr0345314	826	630.036	0	0
FBtr0070123	1087	891.036	1305.32	71.8131
FBtr0070125	845	649.036	5042.83	380.88
FBtr0305494	2809	2613.04	7.29722	0.136897
FBtr0070898	1785	1589.04	97.5624	3.00976
FBtr0076372	804	608.036	31	2.49928
FBtr0083376	1088	892.036	1621.56	89.1117
FBtr0337064	1216	1020.04	362.46	17.4192
FBtr0333082	779	583.036	0	0
FBtr0333081	1394	1198.04	53.402	2.1851
FBtr0076896	792	596.036	430.432	35.401
FBtr0343759	1362	1166.04	5.30465	0.223012
FBtr0070134	1236	1040.04	517.74	24.4032
FBtr0081133	2859	2663.04	770	14.1741
FBtr0084716	2511	2315.04	3418	72.3765
FBtr0333157	812	616.036	0	0
FBtr0073653	818	622.036	224	17.6529
FBtr0310000	4225	4029.04	0	0
FBtr0310001	5111	4915.04	1941.39	19.3629
FBtr0273391	3923	3727.04	0	0
FBtr0079344	4776	4580.04	125.914	1.34769
FBtr0343867	5007	4811.04	0	0
FBtr0307033	5383	5187.04	487.086	4.6033
FBtr0344520	3428	3232.04	187.203	2.83936
FBtr0332869	727	531.144	0	0
FBtr0100555	3231	3035.04	55.2968	0.89314
FBtr0100880	291	122.321	87	34.8659
FBtr0077015	920	724.036	1275	86.3244
FBtr0290083	1202	1006.04	18	0.877086
FBtr0334766	1110	914.036	4	0.214526
FBtr0303151	1687	1491.04	0	0
FBtr0087231	1682	1486.04	0	0
FBtr0087232	1683	1487.04	3286	108.325
FBtr0074346	819	623.036	0	0
FBtr0073202	1947	1751.04	2704	75.6998
FBtr0332429	472	280.214	3365	588.678
FBtr0070682	696	500.144	605	59.2985
FBtr0087075	1378	1182.04	137	5.68163
FBtr0340004	2017	1821.04	15.1863	0.408805
FBtr0087339	1579	1383.04	32.8699	1.16506
FBtr0290211	640	444.426	5.07197	0.559449
FBtr0344291	631	435.426	6.68203	0.752278
FBtr0083632	970	774.036	157.177	9.95429
FBtr0304675	3624	3428.04	1153.61	16.4966
FBtr0076343	4274	4078.04	4744.64	57.0343
FBtr0332249	2849	2653.04	205	3.78786
FBtr0076210	1891	1695.04	939	27.1563
FBtr0333497	2167	1971.04	0	0
FBtr0333500	2649	2453.04	0	0
FBtr0333494	2593	2397.04	178.5	3.65045
FBtr0333507	2913	2717.04	0	0
FBtr0333496	2039	1843.04	0	0
FBtr0333504	2886	2690.04	0	0
FBtr0333509	5560	5364.04	0	0
FBtr0345690	7304	7108.04	912.806	6.29524
FBtr0333506	1695	1499.04	156.75	5.12601
FBtr0333502	4814	4618.04	0	0
FBtr0333495	4814	4618.04	0	0
FBtr0333508	3014	2818.04	0	0
FBtr0333503	3380	3184.04	79.0135	1.21649
FBtr0347552	5074	4878.04	232.582	2.3373
FBtr0333505	3620	3424.04	93.7141	1.34168
FBtr0333499	2188	1992.04	57.3416	1.41109
FBtr0333498	2268	2072.04	64.637	1.52921
FBtr0333501	7545	7349.04	23.2502	0.155088
FBtr0333493	5029	4833.04	25.3569	0.257194
FBtr0345689	7646	7450.04	24.0487	0.15824
FBtr0087085	896	700.036	0	0
FBtr0081328	2231	2035.04	113.945	2.74478
FBtr0081329	2105	1909.04	2489.52	63.927
FBtr0081330	2163	1967.04	523.635	13.0497
FBtr0306234	2310	2114.04	23.6526	0.548465
FBtr0071903	4682	4486.04	2543	27.7886
FBtr0306684	5786	5590.04	1143	10.0234
FBtr0302596	5705	5509.04	0	0
FBtr0307272	1406	1210.04	358.206	14.5117
FBtr0071072	1129	933.036	16.7944	0.882369
FBtr0072906	1300	1104.04	230.575	10.2379
FBtr0072908	1414	1218.04	1065.92	42.8992
FBtr0072907	1574	1378.04	1010.38	35.9424
FBtr0072905	1698	1502.04	946.124	30.8781
FBtr0346727	1248	1052.04	47	2.19003
FBtr0089546	1998	1802.04	488	13.2752
FBtr0089641	4635	4439.04	7.58508	0.0837635
FBtr0343159	4518	4322.04	40.6744	0.461335
FBtr0343160	7965	7769.04	834.741	5.26705
FBtr0308688	3668	3472.04	4.02471	0.0568242
FBtr0070794	3341	3145.04	3527.54	54.9831
FBtr0070795	4509	4313.04	8639.26	98.1921
FBtr0308689	3179	2983.04	24.1776	0.397318
FBtr0081243	1196	1000.04	55.1544	2.70363
FBtr0331324	1357	1161.04	28.8456	1.21792
FBtr0074002	2975	2779.04	126.082	2.22403
FBtr0074001	3696	3500.04	3007.9	42.1284
FBtr0340433	3171	2975.04	278.015	4.58099
FBtr0070065	2110	1914.04	2163.02	55.3979
FBtr0070064	2054	1858.04	1919.02	50.63
FBtr0084008	1816	1620.04	1266	38.3083
FBtr0082924	1843	1647.04	21	0.625028
FBtr0084758	807	611.036	1099	88.1687
FBtr0307295	5425	5229.04	517.928	4.85547
FBtr0307292	5251	5055.04	0	0
FBtr0307294	6324	6128.04	1947.93	15.5825
FBtr0307293	5425	5229.04	208.074	1.95065
FBtr0307291	6331	6135.04	975.065	7.79112
FBtr0070109	5422	5226.04	0	0
FBtr0075346	3145	2949.04	81.1461	1.34887
FBtr0333610	2227	2031.04	70.1137	1.69227
FBtr0344183	5389	5193.04	133.956	1.26451
FBtr0344177	3982	3786.04	114.009	1.47618
FBtr0344180	3939	3743.04	66.5607	0.87172
FBtr0344176	2855	2659.04	215.192	3.96721
FBtr0344184	4895	4699.04	179.002	1.86738
FBtr0344178	5393	5197.04	493.74	4.65721
FBtr0344182	5562	5366.04	578.298	5.28301
FBtr0344181	3939	3743.04	66.5607	0.87172
FBtr0344179	4331	4135.04	261.681	3.10225
FBtr0333909	1095	899.036	0	0
FBtr0076548	1113	917.036	151	8.07187
FBtr0299561	856	660.036	0	0
FBtr0299560	845	649.036	0	0
FBtr0331686	579	384.274	39.986	5.10094
FBtr0083328	569	374.425	13.014	1.70384
FBtr0331685	518	324.669	0	0
FBtr0334332	2186	1990.04	65.2471	1.60725
FBtr0081934	2064	1868.04	671.753	17.6282
FBtr0110941	5141	4945.04	4182.06	41.4575
FBtr0300996	1589	1393.04	154.945	5.45252
FBtr0080693	730	534.091	346	31.7574
FBtr0290134	10901	10705	7857	35.9792
FBtr0113233	663	467.334	39	4.09091
FBtr0070445	1280	1084.04	0	0
FBtr0307159	1798	1602.04	459	14.0451
FBtr0336953	1755	1559.04	2	0.0628865
FBtr0082323	1377	1181.04	136	5.64494
FBtr0089329	1986	1790.04	725	19.8545
FBtr0085149	1072	876.036	46.1759	2.5839
FBtr0080391	1048	852.036	692.47	39.8407
FBtr0334761	1814	1618.04	0	0
FBtr0100125	905	709.036	0	0
FBtr0305263	953	757.036	41.1328	2.66351
FBtr0334762	1121	925.036	29.9112	1.58511
FBtr0080389	1849	1653.04	757.486	22.4634
FBtr0080390	1765	1569.04	0	0
FBtr0081744	1864	1668.04	392	11.5203
FBtr0085056	1002	806.036	5580.71	339.405
FBtr0085055	1066	870.036	29.2086	1.64572
FBtr0343829	4010	3814.04	168.019	2.15952
FBtr0081080	3783	3587.04	6281.98	85.8508
FBtr0081701	830	634.036	0	0
FBtr0087952	2048	1852.04	1308.87	34.6443
FBtr0273406	514	320.799	49.476	7.5604
FBtr0305913	1650	1454.04	122.148	4.11807
FBtr0273320	1409	1213.04	116.852	4.72222
FBtr0305958	822	626.036	0	0
FBtr0112367	401	214.869	368	83.9573
FBtr0073208	1072	876.036	48	2.68598
FBtr0074260	997	801.036	1	0.0611972
FBtr0070832	957	761.036	105	6.76344
FBtr0113156	1331	1135.04	25.507	1.10162
FBtr0076360	596	400.802	19.7349	2.41372
FBtr0083546	1468	1272.04	0	0
FBtr0081965	1575	1379.04	1106	39.3154
FBtr0304865	4033	3837.04	481.397	6.15022
FBtr0304867	4472	4276.04	633.603	7.26372
FBtr0078662	2088	1892.04	22.0034	0.570092
FBtr0114518	2144	1948.04	13.7197	0.345248
FBtr0078664	2368	2172.04	178.041	4.01826
FBtr0078661	2289	2093.04	262.552	6.14925
FBtr0078663	2209	2013.04	223.683	5.4471
FBtr0308064	274	109.707	108	48.2582
FBtr0333547	2505	2309.04	26.9804	0.572798
FBtr0333546	2211	2015.04	6.92138	0.168381
FBtr0070027	2221	2025.04	260.098	6.29634
FBtr0082315	2659	2463.04	55.0986	1.09661
FBtr0112789	3223	3027.04	48.9014	0.791931
FBtr0300704	1885	1689.04	20.1581	0.585052
FBtr0113705	2134	1938.04	1240.05	31.3661
FBtr0344847	1907	1711.04	0	0
FBtr0300702	1875	1679.04	117.207	3.42199
FBtr0300703	2196	2000.04	149.38	3.66133
FBtr0113704	2144	1948.04	7885.19	198.426
FBtr0344118	2561	2365.04	7.67558	0.159095
FBtr0084910	2101	1905.04	0	0
FBtr0084911	2164	1968.04	0	0
FBtr0300819	2782	2586.04	41.5463	0.787556
FBtr0300820	2422	2226.04	31.1982	0.687038
FBtr0084909	2566	2370.04	576.58	11.9258
FBtr0084869	1894	1698.04	408.517	11.7936
FBtr0089712	3679	3483.04	15109.8	212.659
FBtr0339820	4100	3904.04	1186.18	14.8943
FBtr0339819	3461	3265.04	535.404	8.03854
FBtr0303415	4077	3881.04	5.64373	0.0712857
FBtr0331996	4411	4215.04	93.3103	1.0852
FBtr0331997	4647	4451.04	425.494	4.68615
FBtr0301019	4389	4193.04	111.196	1.3
FBtr0100327	2981	2785.04	13	0.228821
FBtr0343641	3426	3230.04	0	0
FBtr0071757	4409	4213.04	25.8051	0.300257
FBtr0308239	4638	4442.04	383.811	4.23564
FBtr0071756	4243	4047.04	87.3837	1.05847
FBtr0075318	8461	8265.04	2543.8	15.0876
FBtr0305085	8449	8253.04	0	0
FBtr0333626	8076	7880.04	24.1311	0.150118
FBtr0330189	8301	8105.04	0	0
FBtr0305084	7990	7794.04	169.553	1.06642
FBtr0330190	8449	8253.04	0	0
FBtr0333625	8067	7871.04	0	0
FBtr0305086	7842	7646.04	1278.52	8.19697
FBtr0076694	3199	3003.04	498.685	8.14046
FBtr0091746	1336	1140.04	1.526	0.0656175
FBtr0306927	4314	4118.04	15	0.17856
FBtr0334760	727	531.144	0	0
FBtr0100503	403	216.69	0	0
FBtr0077144	1521	1325.04	4549.52	168.315
FBtr0306086	1145	949.036	2246.48	116.039
FBtr0340353	8788	8592.04	336.205	1.91819
FBtr0340351	9220	9024.04	0	0
FBtr0340350	9002	8806.04	0	0
FBtr0340352	8558	8362.04	95.814	0.561694
FBtr0340354	8564	8368.04	0.0148925	8.72423e-05
FBtr0340355	7414	7218.04	329.967	2.24096
FBtr0086536	1596	1400.04	30849.1	1080.16
FBtr0086537	1701	1505.04	25.8222	0.841067
FBtr0070738	6606	6410.04	203.761	1.55827
FBtr0070740	5946	5750.04	268.594	2.28986
FBtr0100408	5948	5752.04	395.988	3.37477
FBtr0070739	5518	5322.04	229.657	2.11537
FBtr0301914	6763	6567.04	4.42995e-08	3.30683e-10
FBtr0080656	563	368.574	199.581	26.5447
FBtr0343706	521	327.505	12.7107	1.90255
FBtr0302946	383	198.674	3321.71	819.602
FBtr0301477	4782	4586.04	53.5161	0.572045
FBtr0306350	2503	2307.04	141.003	2.99611
FBtr0306351	2221	2025.04	83.016	2.00961
FBtr0330046	2653	2457.04	298.232	5.95013
FBtr0301478	2790	2594.04	0	0
FBtr0089521	2653	2457.04	298.232	5.95013
FBtr0300884	4898	4702.04	99.4289	1.0366
FBtr0300882	4892	4696.04	3443	35.9408
FBtr0300885	4919	4723.04	3478.56	36.1045
FBtr0300886	5268	5072.04	714.014	6.90093
FBtr0070272	2139	1943.04	118	2.97704
FBtr0113469	6298	6102.04	0	0
FBtr0091533	6079	5883.04	604.05	5.03332
FBtr0081048	909	713.036	0	0
FBtr0329926	906	710.036	0	0
FBtr0331279	411	224.121	0	0
FBtr0306048	1223	1027.04	1	0.0477307
FBtr0345656	5093	4897.04	0	0
FBtr0110838	6234	6038.04	4	0.0324749
FBtr0333123	1100	904.036	7.53363	0.408509
FBtr0075201	980	784.036	660.466	41.2951
FBtr0308601	1556	1360.04	0	0
FBtr0346350	2380	2184.04	6.13493	0.1377
FBtr0333306	1668	1472.04	63.0255	2.09885
FBtr0071465	1150	954.036	266.833	13.7107
FBtr0082368	1909	1713.04	424	12.1334
FBtr0072553	1422	1226.04	1	0.0399834
FBtr0081407	662	466.334	0	0
FBtr0080119	2993	2797.04	155	2.71655
FBtr0332091	7868	7672.04	140.707	0.899059
FBtr0075562	7222	7026.04	3914.29	27.3103
FBtr0302392	219	71.3277	0	0
FBtr0302971	813	617.036	0	0
FBtr0303249	887	691.036	4.99951	0.354658
FBtr0110947	892	696.036	0.000491144	3.45908e-05
FBtr0333413	1540	1344.04	597.465	21.7914
FBtr0079683	1684	1488.04	16.5352	0.544728
FBtr0333414	1687	1491.04	0	0
FBtr0072576	2694	2498.04	2729	53.5535
FBtr0334302	4002	3806.04	273.812	3.52666
FBtr0082031	3999	3803.04	57.1878	0.73715
FBtr0079550	1502	1306.04	1430.64	53.6981
FBtr0343384	1440	1244.04	0.360015	0.0141864
FBtr0330045	2512	2316.04	312	6.60378
FBtr0082987	1415	1219.04	0	0
FBtr0301428	2661	2465.04	42.5794	0.846758
FBtr0301429	2872	2676.04	70.8587	1.29803
FBtr0301431	3360	3164.04	159.412	2.4698
FBtr0301430	3149	2953.04	112.15	1.86172
FBtr0340558	1229	1033.04	0	0
FBtr0080177	1082	886.036	0	0
FBtr0343610	5025	4829.04	186.711	1.89537
FBtr0343608	4211	4015.04	704.949	8.60699
FBtr0343609	4032	3836.04	0	0
FBtr0079957	4223	4027.04	25.7998	0.314061
FBtr0303907	4127	3931.04	187.611	2.33956
FBtr0303906	4081	3885.04	165.968	2.09417
FBtr0303905	4119	3923.04	78.9614	0.986679
FBtr0088650	2014	1818.04	1275	34.3788
FBtr0273339	1383	1187.04	1220.57	50.4059
FBtr0301167	1029	833.036	380.432	22.387
FBtr0347550	3326	3130.04	79.3957	1.24346
FBtr0078958	1114	918.036	716.88	38.2798
FBtr0075478	694	498.144	1	0.0984076
FBtr0078567	882	686.036	0	0
FBtr0071225	1165	969.036	1004.89	50.8348
FBtr0345985	1286	1090.04	246.945	11.1056
FBtr0340217	5681	5485.04	0	0
FBtr0086904	5684	5488.04	4972	44.4117
FBtr0306284	372	189.035	0	0
FBtr0347283	774	578.036	9.43012	0.799734
FBtr0075651	4329	4133.04	172.21	2.04255
FBtr0075652	3921	3725.04	237.79	3.1293
FBtr0332622	8259	8063.04	876.867	5.33112
FBtr0308328	8643	8447.04	706.022	4.09729
FBtr0308327	8457	8261.04	0.240731	0.0014285
FBtr0308325	7938	7742.04	3012.16	19.0724
FBtr0308329	7097	6901.04	29.2227	0.207582
FBtr0332621	6223	6027.04	5.56902	0.0452959
FBtr0308326	6286	6090.04	5.9211	0.0476613
FBtr0345197	13125	12929	876.2	3.32216
FBtr0333706	10897	10701	0	0
FBtr0089106	6189	5993.04	4014.85	32.8402
FBtr0309088	2778	2582.04	430.513	8.17348
FBtr0309089	4262	4066.04	1162.82	14.0193
FBtr0076486	2394	2198.04	552.666	12.3257
FBtr0332592	2813	2617.04	4.87252	0.0912698
FBtr0332591	2322	2126.04	205.993	4.74968
FBtr0074079	2391	2195.04	5146.13	114.927
FBtr0088643	4091	3895.04	181.81	2.28817
FBtr0088642	4088	3892.04	736.448	9.27574
FBtr0345224	4148	3952.04	86.9224	1.07819
FBtr0339302	4145	3949.04	89.8197	1.11497
FBtr0334821	1627	1431.04	8.27188	0.283359
