target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	672.895	0	0
FBtr0070126	935	738.895	340.986	597.743
FBtr0070128	913	716.895	7.61564	13.7598
FBtr0070124	1472	1275.89	0	0
FBtr0070127	1050	853.895	19.594	29.7222
FBtr0100530	1544	1347.89	16.2497	15.6153
FBtr0345314	826	629.895	0	0
FBtr0070123	1087	890.895	51.5394	74.9331
FBtr0070125	845	648.895	138.016	275.496
FBtr0305494	2809	2612.89	0	0
FBtr0070898	1785	1588.89	3	2.44561
FBtr0076372	804	607.895	1	2.13075
FBtr0083376	1088	891.895	59.0888	85.8129
FBtr0337064	1216	1019.89	8.65295	10.9893
FBtr0333082	779	582.895	0	0
FBtr0333081	1394	1197.89	4.70634	5.08892
FBtr0076896	792	595.895	13.6588	29.6896
FBtr0343759	1362	1165.89	0	0
FBtr0070134	1236	1039.89	12	14.947
FBtr0081133	2859	2662.89	23	11.1875
FBtr0084716	2511	2314.89	103	57.6324
FBtr0333157	812	615.895	0	0
FBtr0073653	818	621.895	12	24.9934
FBtr0310000	4225	4028.89	0	0
FBtr0310001	5111	4914.89	33.5946	8.85352
FBtr0273391	3923	3726.89	0	0
FBtr0079344	4776	4579.89	8.45487	2.39118
FBtr0343867	5007	4810.89	0	0
FBtr0307033	5383	5186.89	8.54513	2.13389
FBtr0344520	3428	3231.89	10.5	4.20817
FBtr0332869	727	530.895	0	0
FBtr0100555	3231	3034.89	0	0
FBtr0100880	291	121.755	2	21.2767
FBtr0077015	920	723.895	42	75.151
FBtr0290083	1202	1005.89	2	2.57536
FBtr0334766	1110	913.895	0	0
FBtr0303151	1687	1490.89	0	0
FBtr0087231	1682	1485.89	0	0
FBtr0087232	1683	1486.89	128	111.504
FBtr0074346	819	622.895	0	0
FBtr0073202	1947	1750.89	104	76.9368
FBtr0332429	472	279.134	154	714.609
FBtr0070682	696	499.895	26	67.3683
FBtr0087075	1378	1181.89	6	6.57557
FBtr0340004	2017	1820.89	0	0
FBtr0087339	1579	1382.89	4	3.74655
FBtr0290211	640	443.989	1.02773e-08	2.99824e-08
FBtr0344291	631	434.989	2	5.95543
FBtr0083632	970	773.895	0	0
FBtr0304675	3624	3427.89	4.14734	1.56712
FBtr0076343	4274	4077.89	181.853	57.7623
FBtr0332249	2849	2652.89	5	2.44124
FBtr0076210	1891	1694.89	46	35.1541
FBtr0333497	2167	1970.89	5.32429	3.49912
FBtr0333500	2649	2452.89	7.27982	3.84417
FBtr0333494	2593	2396.89	0	0
FBtr0333507	2913	2716.89	0	0
FBtr0333496	2039	1842.89	0.0260952	0.0183409
FBtr0333504	2886	2689.89	0	0
FBtr0333509	5560	5363.89	0	0
FBtr0345690	7304	7107.89	28.1706	5.13353
FBtr0333506	1695	1498.89	0	0
FBtr0333502	4814	4617.89	0	0
FBtr0333495	4814	4617.89	0	0
FBtr0333508	3014	2817.89	0	0
FBtr0333503	3380	3183.89	0	0
FBtr0347552	5074	4877.89	30.0865	7.98916
FBtr0333505	3620	3423.89	3.59919	1.36159
FBtr0333499	2188	1991.89	0.000273092	0.000177584
FBtr0333498	2268	2071.89	2.44367	1.52769
FBtr0333501	7545	7348.89	0	0
FBtr0333493	5029	4832.89	3.06951	0.822664
FBtr0345689	7646	7449.89	0	0
FBtr0087085	896	699.895	0	0
FBtr0081328	2231	2034.89	0	0
FBtr0081329	2105	1908.89	98	66.4975
FBtr0081330	2163	1966.89	0	0
FBtr0306234	2310	2113.89	0	0
FBtr0071903	4682	4485.89	59	17.0359
FBtr0306684	5786	5589.89	4.20131e-05	9.73515e-06
FBtr0302596	5705	5508.89	34	7.9942
FBtr0307272	1406	1209.89	15	16.0585
FBtr0071072	1129	932.895	0	0
FBtr0072906	1300	1103.89	9.15538	10.7426
FBtr0072908	1414	1217.89	23.8309	25.3449
FBtr0072907	1574	1377.89	38.0142	35.7347
FBtr0072905	1698	1501.89	15.9996	13.7984
FBtr0346727	1248	1051.89	5	6.15685
FBtr0089546	1998	1801.89	27	19.4086
FBtr0089641	4635	4438.89	0	0
FBtr0343159	4518	4321.89	0	0
FBtr0343160	7965	7768.89	35	5.83539
FBtr0308688	3668	3471.89	0	0
FBtr0070794	3341	3144.89	66.63	27.4425
FBtr0070795	4509	4312.89	280.032	84.1007
FBtr0308689	3179	2982.89	4.33819	1.88379
FBtr0081243	1196	999.895	1	1.29541
FBtr0331324	1357	1160.89	0	0
FBtr0074002	2975	2778.89	0	0
FBtr0074001	3696	3499.89	61	22.5754
FBtr0340433	3171	2974.89	0	0
FBtr0070065	2110	1913.89	115.9	78.4377
FBtr0070064	2054	1857.89	0.100446	0.0700281
FBtr0084008	1816	1619.89	35	27.9861
FBtr0082924	1843	1646.89	3	2.35948
FBtr0084758	807	610.895	52	110.255
FBtr0307295	5425	5228.89	22.7004	5.62322
FBtr0307292	5251	5054.89	0	0
FBtr0307294	6324	6127.89	35.8481	7.57733
FBtr0307293	5425	5228.89	0.00978784	0.00242459
FBtr0307291	6331	6134.89	81.4416	17.1949
FBtr0070109	5422	5225.89	0	0
FBtr0075346	3145	2948.89	0	0
FBtr0333610	2227	2030.89	4	2.55114
FBtr0344183	5389	5192.89	5.76863e-08	1.43888e-08
FBtr0344177	3982	3785.89	6.45698	2.20913
FBtr0344180	3939	3742.89	3.111	1.0766
FBtr0344176	2855	2658.89	18.3246	8.92677
FBtr0344184	4895	4698.89	6.26801	1.72781
FBtr0344178	5393	5196.89	22.189	5.53038
FBtr0344182	5562	5365.89	38.5394	9.30301
FBtr0344181	3939	3742.89	3.111	1.0766
FBtr0344179	4331	4134.89	0	0
FBtr0333909	1095	898.895	4	5.76384
FBtr0076548	1113	916.895	3.77521e-08	5.33314e-08
FBtr0299561	856	659.895	0	0
FBtr0299560	845	648.895	0	0
FBtr0331686	579	383.274	0	0
FBtr0083328	569	373.35	0	0
FBtr0331685	518	323.21	3	12.0226
FBtr0334332	2186	1989.89	0	0
FBtr0081934	2064	1867.89	17	11.7885
FBtr0110941	5141	4944.89	121	31.6949
FBtr0300996	1589	1392.89	0	0
FBtr0080693	730	533.895	18	43.6695
FBtr0290134	10901	10704.9	152	18.3917
FBtr0113233	663	466.942	3	8.32183
FBtr0070445	1280	1083.89	3.5377	4.2276
FBtr0307159	1798	1601.89	15.4623	12.5026
FBtr0336953	1755	1558.89	0	0
FBtr0082323	1377	1180.89	6	6.58114
FBtr0089329	1986	1789.89	32	23.1571
FBtr0085149	1072	875.895	2.10148	3.10767
FBtr0080391	1048	851.895	23.7309	36.0819
FBtr0334761	1814	1617.89	0	0
FBtr0100125	905	708.895	0	0
FBtr0305263	953	756.895	0	0
FBtr0334762	1121	924.895	0	0
FBtr0080389	1849	1652.89	39.2691	30.7728
FBtr0080390	1765	1568.89	0	0
FBtr0081744	1864	1667.89	20	15.5318
FBtr0085056	1002	805.895	321.325	516.449
FBtr0085055	1066	869.895	0	0
FBtr0343829	4010	3813.89	0	0
FBtr0081080	3783	3586.89	239	86.3058
FBtr0081701	830	633.895	0	0
FBtr0087952	2048	1851.89	46.9532	32.8405
FBtr0273406	514	319.274	0	0
