target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	678.666	0	0
FBtr0070126	935	744.666	301.905	540.425
FBtr0070128	913	722.666	15.2163	28.0672
FBtr0070124	1472	1281.67	0	0
FBtr0070127	1050	859.666	32.4808	50.3643
FBtr0100530	1544	1353.67	20.1264	19.8189
FBtr0345314	826	635.666	0	0
FBtr0070123	1087	896.666	22.2314	33.0493
FBtr0070125	845	654.666	120.04	244.417
FBtr0305494	2809	2618.67	0	0
FBtr0070898	1785	1594.67	1	0.835904
FBtr0076372	804	613.666	1	2.17217
FBtr0083376	1088	897.666	24.4963	36.3757
FBtr0337064	1216	1025.67	9.46924	12.3065
FBtr0333082	779	588.725	0	0
FBtr0333081	1394	1203.67	0	0
FBtr0076896	792	601.666	14	31.0169
FBtr0343759	1362	1171.67	0	0
FBtr0070134	1236	1045.67	25	31.8694
FBtr0081133	2859	2668.67	15	7.49244
FBtr0084716	2511	2320.67	83	47.6751
FBtr0333157	812	621.666	0	0
FBtr0073653	818	627.666	13	27.6084
FBtr0310000	4225	4034.67	0	0
FBtr0310001	5111	4920.67	66	17.8791
FBtr0273391	3923	3732.67	0	0
FBtr0079344	4776	4585.67	15	4.36029
FBtr0343867	5007	4816.67	0	0
FBtr0307033	5383	5192.67	0	0
FBtr0344520	3428	3237.67	6.41744	2.64214
FBtr0332869	727	536.725	0.872294	2.1664
FBtr0100555	3231	3040.67	2.07888e-08	9.11354e-09
FBtr0100880	291	124.941	4	42.6757
FBtr0077015	920	729.666	42	76.7276
FBtr0290083	1202	1011.67	1	1.31762
FBtr0334766	1110	919.666	0	0
FBtr0303151	1687	1496.67	0	0
FBtr0087231	1682	1491.67	0	0
FBtr0087232	1683	1492.67	131	116.986
FBtr0074346	819	628.666	0	0
FBtr0073202	1947	1756.67	90	68.2935
FBtr0332429	472	284.42	193	904.532
FBtr0070682	696	505.725	25	65.8949
FBtr0087075	1378	1187.67	2	2.24472
FBtr0340004	2017	1826.67	3.14073	2.29191
FBtr0087339	1579	1388.67	0	0
FBtr0290211	640	449.77	0	0
FBtr0344291	631	440.815	0	0
FBtr0083632	970	779.666	8.48155	14.5008
FBtr0304675	3624	3433.67	25.0662	9.73098
FBtr0076343	4274	4083.67	131.934	43.0658
FBtr0332249	2849	2658.67	7	3.50962
FBtr0076210	1891	1700.67	33	25.8655
FBtr0333497	2167	1976.67	0	0
FBtr0333500	2649	2458.67	0	0
FBtr0333494	2593	2402.67	16.2677	9.02524
FBtr0333507	2913	2722.67	0	0
FBtr0333496	2039	1848.67	0	0
FBtr0333504	2886	2695.67	0	0
FBtr0333509	5560	5369.67	0	0
FBtr0345690	7304	7113.67	49.4867	9.27303
FBtr0333506	1695	1504.67	4.97254	4.40519
FBtr0333502	4814	4623.67	0	0
FBtr0333495	4814	4623.67	0	0
FBtr0333508	3014	2823.67	0	0
FBtr0333503	3380	3189.67	0	0
FBtr0347552	5074	4883.67	0	0
FBtr0333505	3620	3429.67	5.27302	2.04943
FBtr0333499	2188	1997.67	0	0
FBtr0333498	2268	2077.67	0	0
FBtr0333501	7545	7354.67	0	0
FBtr0333493	5029	4838.67	0	0
FBtr0345689	7646	7455.67	0	0
FBtr0087085	896	705.666	0	0
FBtr0081328	2231	2040.67	0	0
FBtr0081329	2105	1914.67	64	44.5567
FBtr0081330	2163	1972.67	0	0
FBtr0306234	2310	2119.67	0	0
FBtr0071903	4682	4491.67	38	11.2772
FBtr0306684	5786	5595.67	26	6.19366
FBtr0302596	5705	5514.67	0	0
FBtr0307272	1406	1215.67	21.9434	24.0611
FBtr0071072	1129	938.666	4.05658	5.7607
FBtr0072906	1300	1109.67	13.5409	16.2661
FBtr0072908	1414	1223.67	36.2855	39.5272
FBtr0072907	1574	1383.67	46.3188	44.6224
FBtr0072905	1698	1507.67	6.85477	6.06058
FBtr0346727	1248	1057.67	0	0
FBtr0089546	1998	1807.67	21	15.4856
FBtr0089641	4635	4444.67	0	0
FBtr0343159	4518	4327.67	0	0
FBtr0343160	7965	7774.67	48	8.22973
FBtr0308688	3668	3477.67	0	0
FBtr0070794	3341	3150.67	52.9284	22.393
FBtr0070795	4509	4318.67	229.072	70.7046
FBtr0308689	3179	2988.67	0	0
FBtr0081243	1196	1005.67	5	6.62739
FBtr0331324	1357	1166.67	0	0
FBtr0074002	2975	2784.67	5.5155	2.64021
FBtr0074001	3696	3505.67	53.4845	20.3368
FBtr0340433	3171	2980.67	0	0
FBtr0070065	2110	1919.67	34.2797	23.8033
FBtr0070064	2054	1863.67	84.7203	60.5962
FBtr0084008	1816	1625.67	34	27.8788
FBtr0082924	1843	1652.67	1	0.806568
FBtr0084758	807	616.666	43	92.949
FBtr0307295	5425	5234.67	0	0
FBtr0307292	5251	5060.67	20.0926	5.29242
FBtr0307294	6324	6133.67	93.1928	20.253
FBtr0307293	5425	5234.67	0	0
FBtr0307291	6331	6140.67	50.7146	11.0089
FBtr0070109	5422	5231.67	0	0
FBtr0075346	3145	2954.67	0	0
FBtr0333610	2227	2036.67	4	2.61798
FBtr0344183	5389	5198.67	29.9193	7.67159
FBtr0344177	3982	3791.67	0	0
FBtr0344180	3939	3748.67	2.54999	0.906751
FBtr0344176	2855	2664.67	18.5104	9.25975
FBtr0344184	4895	4704.67	3.41786	0.968394
FBtr0344178	5393	5202.67	0.00126088	0.000323052
FBtr0344182	5562	5371.67	31.0512	7.70541
FBtr0344181	3939	3748.67	2.54999	0.906751
FBtr0344179	4331	4140.67	0	0
FBtr0333909	1095	904.666	0	0
FBtr0076548	1113	922.666	4	5.77885
FBtr0299561	856	665.666	0	0
FBtr0299560	845	654.666	0	0
FBtr0331686	579	389.054	0	0
FBtr0083328	569	379.169	0	0
FBtr0331685	518	328.966	2	8.10411
FBtr0334332	2186	1995.67	0	0
FBtr0081934	2064	1873.67	17	12.0944
FBtr0110941	5141	4950.67	115.942	31.2179
FBtr0300996	1589	1398.67	6.05805	5.77357
FBtr0080693	730	539.725	8	19.758
FBtr0290134	10901	10710.7	139	17.2991
FBtr0113233	663	472.725	3	8.45939
FBtr0070445	1280	1089.67	3.8964	4.76646
FBtr0307159	1798	1607.67	3.1036	2.57334
FBtr0336953	1755	1564.67	0	0
FBtr0082323	1377	1186.67	7	7.86314
FBtr0089329	1986	1795.67	16	11.8774
FBtr0085149	1072	881.666	4.16019	6.28977
FBtr0080391	1048	857.666	33.7919	52.5195
FBtr0334761	1814	1623.67	0	0
FBtr0100125	905	714.666	0	0
FBtr0305263	953	762.666	0	0
FBtr0334762	1121	930.666	0	0
FBtr0080389	1849	1658.67	52.2081	41.9571
FBtr0080390	1765	1574.67	0	0
FBtr0081744	1864	1673.67	19	15.1325
FBtr0085056	1002	811.666	484.165	795.137
FBtr0085055	1066	875.666	0	0
FBtr0343829	4010	3819.67	0	0
FBtr0081080	3783	3592.67	162	60.1069
FBtr0081701	830	639.666	0	0
FBtr0087952	2048	1857.67	47	33.7253
FBtr0273406	514	325.097	3.2138	13.1775
FBtr0305913	1650	1459.67	13	11.8718
FBtr0273320	1409	1218.67	0	0
FBtr0305958	822	631.666	0	0
FBtr0112367	401	218.091	16	97.793
FBtr0073208	1072	881.666	3	4.53569
FBtr0074260	997	806.666	0	0
FBtr0070832	957	766.666	7	12.1708
FBtr0113156	1331	1140.67	0	0
FBtr0076360	596	405.856	2	6.56877
FBtr0083546	1468	1277.67	0	0
FBtr0081965	1575	1384.67	20	19.2536
FBtr0304865	4033	3842.67	10.7672	3.73504
FBtr0304867	4472	4281.67	25.2328	7.8556
FBtr0078662	2088	1897.67	4.34038	3.04883
FBtr0114518	2144	1953.67	0	0
FBtr0078664	2368	2177.67	7.77738	4.76067
