target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	673.36	0	0
FBtr0070126	935	739.36	185.441	757.128
FBtr0070128	913	717.36	16.2709	68.4689
FBtr0070124	1472	1276.36	0	0
FBtr0070127	1050	854.36	9.29543	32.8434
FBtr0100530	1544	1348.36	18.1054	40.5342
FBtr0345314	826	630.36	0	0
FBtr0070123	1087	891.36	29.4664	99.7915
FBtr0070125	845	649.36	74.4207	345.961
FBtr0305494	2809	2613.36	0	0
FBtr0070898	1785	1589.36	1	1.89931
FBtr0076372	804	608.36	3	14.8861
FBtr0083376	1088	892.36	31.3217	105.956
FBtr0337064	1216	1020.36	17.8762	52.886
FBtr0333082	779	583.36	0	0
FBtr0333081	1394	1198.36	0	0
FBtr0076896	792	596.36	16	80.9898
FBtr0343759	1362	1166.36	0	0
FBtr0070134	1236	1040.36	7	20.3111
FBtr0081133	2859	2663.36	10	11.3342
FBtr0084716	2511	2315.36	45	58.6696
FBtr0333157	812	616.36	0.999815	4.89671
FBtr0073653	818	622.36	0.0001854	0.000899263
FBtr0310000	4225	4029.36	0	0
FBtr0310001	5111	4915.36	29.5654	18.1571
FBtr0273391	3923	3727.36	0	0
FBtr0079344	4776	4580.36	15	9.88577
FBtr0343867	5007	4811.36	0	0
FBtr0307033	5383	5187.36	0	0
FBtr0344520	3428	3232.36	3	2.80169
FBtr0332869	727	531.414	0	0
FBtr0100555	3231	3035.36	0	0
FBtr0100880	291	120.913	5	124.83
FBtr0077015	920	724.36	19	79.1805
FBtr0290083	1202	1006.36	1	2.99962
FBtr0334766	1110	914.36	0	0
FBtr0303151	1687	1491.36	0	0
FBtr0087231	1682	1486.36	0	0
FBtr0087232	1683	1487.36	72	146.129
FBtr0074346	819	623.36	0	0
FBtr0073202	1947	1751.36	39	67.2215
FBtr0332429	472	279.751	52	561.114
FBtr0070682	696	500.414	12	72.3887
FBtr0087075	1378	1182.36	3	7.65933
FBtr0340004	2017	1821.36	0	0
FBtr0087339	1579	1383.36	0	0
FBtr0290211	640	444.508	0	0
FBtr0344291	631	435.508	0	0
FBtr0083632	970	774.36	3.8144	14.8697
FBtr0304675	3624	3428.36	0.493541	0.434566
FBtr0076343	4274	4078.36	99.4704	73.6253
FBtr0332249	2849	2653.36	2	2.27537
FBtr0076210	1891	1695.36	24	42.7335
FBtr0333497	2167	1971.36	0	0
FBtr0333500	2649	2453.36	0	0
FBtr0333494	2593	2397.36	2.3975	3.01887
FBtr0333507	2913	2717.36	0	0
FBtr0333496	2039	1843.36	0	0
FBtr0333504	2886	2690.36	0	0
FBtr0333509	5560	5364.36	0	0
FBtr0345690	7304	7108.36	14.2738	6.06163
FBtr0333506	1695	1499.36	2.63379	5.30267
FBtr0333502	4814	4618.36	1.90148	1.24286
FBtr0333495	4814	4618.36	1.90148	1.24286
FBtr0333508	3014	2818.36	0	0
FBtr0333503	3380	3184.36	0	0
FBtr0347552	5074	4878.36	0	0
FBtr0333505	3620	3424.36	1.89194	1.66781
FBtr0333499	2188	1992.36	0	0
FBtr0333498	2268	2072.36	0	0
FBtr0333501	7545	7349.36	0	0
FBtr0333493	5029	4833.36	0	0
FBtr0345689	7646	7450.36	0	0
FBtr0087085	896	700.36	0	0
FBtr0081328	2231	2035.36	0	0
FBtr0081329	2105	1909.36	37.6912	59.5898
FBtr0081330	2163	1967.36	18.106	27.7816
FBtr0306234	2310	2114.36	0	0
FBtr0071903	4682	4486.36	42	28.2601
FBtr0306684	5786	5590.36	23	12.4196
FBtr0302596	5705	5509.36	0	0
FBtr0307272	1406	1210.36	8	19.9524
FBtr0071072	1129	933.36	0	0
FBtr0072906	1300	1104.36	0	0
FBtr0072908	1414	1218.36	10.2303	25.3473
FBtr0072907	1574	1378.36	18.1403	39.7283
FBtr0072905	1698	1502.36	34.6294	69.5809
FBtr0346727	1248	1052.36	0	0
FBtr0089546	1998	1802.36	7	11.724
FBtr0089641	4635	4439.36	0	0
FBtr0343159	4518	4322.36	0	0
FBtr0343160	7965	7769.36	15	5.82807
FBtr0308688	3668	3472.36	0	0
FBtr0070794	3341	3145.36	74.368	71.3732
FBtr0070795	4509	4313.36	142.632	99.8206
FBtr0308689	3179	2983.36	0	0
FBtr0081243	1196	1000.36	2	6.03521
FBtr0331324	1357	1161.36	0	0
FBtr0074002	2975	2779.36	2.21541e-05	2.40618e-05
FBtr0074001	3696	3500.36	40.0041	34.4993
FBtr0340433	3171	2975.36	16.9959	17.2434
FBtr0070065	2110	1914.36	0	0
FBtr0070064	2054	1858.36	63	102.336
FBtr0084008	1816	1620.36	15	27.9447
