target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	688.409	106.47	4.85574
FBtr0070126	935	754.409	13356.4	555.846
FBtr0070128	913	732.409	387.924	16.629
FBtr0070124	1472	1291.41	55.3459	1.34553
FBtr0070127	1050	869.409	1181.81	42.6774
FBtr0100530	1544	1363.41	823.154	18.9552
FBtr0345314	826	645.409	0	0
FBtr0070123	1087	906.409	1592.1	55.1465
FBtr0070125	845	664.409	5428.82	256.533
FBtr0305494	2809	2628.41	20.2129	0.24144
FBtr0070898	1785	1604.41	162.662	3.18305
FBtr0076372	804	623.472	39	1.96391
FBtr0083376	1088	907.409	1563.3	54.0895
FBtr0337064	1216	1035.41	564.399	17.1138
FBtr0333082	779	598.472	23.5692	1.23644
FBtr0333081	1394	1213.41	60.9704	1.57756
FBtr0076896	792	611.472	554.706	28.4813
FBtr0343759	1362	1181.41	2.90191	0.0771183
FBtr0070134	1236	1055.41	1170.24	34.8118
FBtr0081133	2859	2678.41	877	10.2801
FBtr0084716	2511	2330.41	3497	47.1126
FBtr0333157	812	631.409	0	0
FBtr0073653	818	637.409	396	19.5052
FBtr0310000	4225	4044.41	0	0
FBtr0310001	5111	4930.41	2079.4	13.2413
FBtr0273391	3923	3742.41	0	0
FBtr0079344	4776	4595.41	472.79	3.23011
FBtr0343867	5007	4826.41	0	0
FBtr0307033	5383	5202.41	874.21	5.27576
FBtr0344520	3428	3247.41	164.843	1.5937
FBtr0332869	727	546.472	25.3592	1.45693
FBtr0100555	3231	3050.41	131.628	1.35476
FBtr0100880	291	135.618	342	79.1737
FBtr0077015	920	739.409	1892	80.3359
FBtr0290083	1202	1021.41	61	1.87501
FBtr0334766	1110	929.409	0	0
FBtr0303151	1687	1506.41	12	0.250099
FBtr0087231	1682	1501.41	0	0
FBtr0087232	1683	1502.41	5965	124.651
FBtr0074346	819	638.409	2	0.0983567
FBtr0073202	1947	1766.41	3288	58.4405
FBtr0332429	472	296.687	8826	933.983
FBtr0070682	696	515.527	1251	76.1868
FBtr0087075	1378	1197.41	279	7.31535
FBtr0340004	2017	1836.41	60.5023	1.03437
FBtr0087339	1579	1398.41	16.3708	0.367544
FBtr0290211	640	459.773	6.80385	0.464606
FBtr0344291	631	450.864	33.4565	2.32974
FBtr0083632	970	789.409	233.712	9.29506
FBtr0304675	3624	3443.41	551.669	5.02995
FBtr0076343	4274	4093.41	6338.9	48.6185
FBtr0332249	2849	2668.41	514	6.04761
FBtr0076210	1891	1710.41	1701	31.2232
FBtr0333497	2167	1986.41	0	0
FBtr0333500	2649	2468.41	63.5991	0.808923
FBtr0333494	2593	2412.41	272.833	3.55074
FBtr0333507	2913	2732.41	0	0
FBtr0333496	2039	1858.41	0	0
FBtr0333504	2886	2705.41	0	0
FBtr0333509	5560	5379.41	0	0
FBtr0345690	7304	7123.41	1789.41	7.8867
FBtr0333506	1695	1514.41	210.456	4.36307
FBtr0333502	4814	4633.41	0	0
FBtr0333495	4814	4633.41	0	0
FBtr0333508	3014	2833.41	0	0
FBtr0333503	3380	3199.41	68.9455	0.676565
FBtr0347552	5074	4893.41	619.332	3.97361
FBtr0333505	3620	3439.41	171.403	1.56462
FBtr0333499	2188	2007.41	76.4204	1.19522
FBtr0333498	2268	2087.41	51.0179	0.767341
FBtr0333501	7545	7364.41	94.1403	0.401338
FBtr0333493	5029	4848.41	51.5137	0.333577
FBtr0345689	7646	7465.41	0.928877	0.00390641
FBtr0087085	896	715.409	0	0
FBtr0081328	2231	2050.41	113.829	1.74295
FBtr0081329	2105	1924.41	2709.07	44.1973
FBtr0081330	2163	1982.41	418.874	6.63381
FBtr0306234	2310	2129.41	40.1411	0.591838
FBtr0071903	4682	4501.41	1924	13.4193
FBtr0306684	5786	5605.41	1080	6.04909
FBtr0302596	5705	5524.41	4.06389e-06	2.30956e-08
FBtr0307272	1406	1225.41	656.967	16.832
FBtr0071072	1129	948.409	0.0327861	0.00108534
FBtr0072906	1300	1119.41	500.727	14.0438
FBtr0072908	1414	1233.41	1096.83	27.9194
FBtr0072907	1574	1393.41	1895.75	42.7145
FBtr0072905	1698	1517.41	732.693	15.1598
FBtr0346727	1248	1067.41	94	2.76484
FBtr0089546	1998	1817.41	836	14.442
FBtr0089641	4635	4454.41	0	0
FBtr0343159	4518	4337.41	30.7428	0.222529
FBtr0343160	7965	7784.41	1595.26	6.43396
FBtr0308688	3668	3487.41	7.51565	0.0676607
FBtr0070794	3341	3160.41	2624.27	26.0698
FBtr0070795	4509	4328.41	11620.1	84.2858
FBtr0308689	3179	2998.41	49.1278	0.51441
FBtr0081243	1196	1015.41	32.0897	0.992198
FBtr0331324	1357	1176.41	116.91	3.12009
FBtr0074002	2975	2794.41	219.252	2.46335
FBtr0074001	3696	3515.41	2754.37	24.5991
FBtr0340433	3171	2990.41	4.37616	0.0459447
FBtr0070065	2110	1929.41	2984.08	48.5578
FBtr0070064	2054	1873.41	1480.75	24.8155
FBtr0084008	1816	1635.41	1406	26.9918
FBtr0082924	1843	1662.41	52	0.982061
FBtr0084758	807	626.409	1862	93.3243
FBtr0307295	5425	5244.41	293.176	1.75511
FBtr0307292	5251	5070.41	0	0
FBtr0307294	6324	6143.41	4922.53	25.1566
FBtr0307293	5425	5244.41	389.965	2.33455
FBtr0307291	6331	6150.41	1729.33	8.82767
FBtr0070109	5422	5241.41	0	0
FBtr0075346	3145	2964.41	375.581	3.97777
FBtr0333610	2227	2046.41	0	0
FBtr0344183	5389	5208.41	204.513	1.23279
FBtr0344177	3982	3801.41	128.729	1.06318
FBtr0344180	3939	3758.41	139.957	1.16913
FBtr0344176	2855	2674.41	540.06	6.33998
FBtr0344184	4895	4714.41	312.79	2.08305
FBtr0344178	5393	5212.41	1172.27	7.06095
FBtr0344182	5562	5381.41	1439.83	8.4002
FBtr0344181	3939	3758.41	139.957	1.16913
FBtr0344179	4331	4150.41	345.887	2.61648
FBtr0333909	1095	914.409	0	0
FBtr0076548	1113	932.409	332	11.179
FBtr0299561	856	675.409	0	0
FBtr0299560	845	664.409	0	0
FBtr0331686	579	399.852	119.167	9.35683
FBtr0083328	569	389.931	4.83337	0.389167
FBtr0331685	518	340.359	0	0
FBtr0334332	2186	2005.41	147.94	2.31609
FBtr0081934	2064	1883.41	650.06	10.8363
FBtr0110941	5141	4960.41	4348.8	27.5248
FBtr0300996	1589	1408.41	137.204	3.05851
FBtr0080693	730	549.472	592	33.8259
FBtr0290134	10901	10720.4	5399	15.8116
FBtr0113233	663	482.725	53	3.44706
FBtr0070445	1280	1099.41	0	0
FBtr0307159	1798	1617.41	543	10.5403
FBtr0336953	1755	1574.41	2	0.0398828
FBtr0082323	1377	1196.41	242	6.35051
FBtr0089329	1986	1805.41	784	13.6337
FBtr0085149	1072	891.409	81.4606	2.86909
FBtr0080391	1048	867.409	1253.36	45.3655
FBtr0334761	1814	1633.41	27.7299	0.532998
FBtr0100125	905	724.409	0	0
FBtr0305263	953	772.409	56.722	2.30556
FBtr0334762	1121	940.409	181.864	6.0716
FBtr0080389	1849	1668.41	1416.32	26.6522
FBtr0080390	1765	1584.41	0	0
FBtr0081744	1864	1683.41	855	15.9459
FBtr0085056	1002	821.409	10305	393.879
FBtr0085055	1066	885.409	37.6203	1.33399
FBtr0343829	4010	3829.41	84.3482	0.69154
FBtr0081080	3783	3602.41	7391.65	64.4202
FBtr0081701	830	649.409	0	0
FBtr0087952	2048	1867.41	1693.13	28.4658
FBtr0273406	514	336.495	58.6124	5.4687
FBtr0305913	1650	1469.41	191.28	4.08695
FBtr0273320	1409	1228.41	212.72	5.43674
FBtr0305958	822	641.409	3	0.146845
FBtr0112367	401	230.71	733	99.7496
FBtr0073208	1072	891.409	118	4.15602
FBtr0074260	997	816.409	0	0
FBtr0070832	957	776.409	209	8.4514
FBtr0113156	1331	1150.41	20.3782	0.556144
FBtr0076360	596	416.522	35.6787	2.68933
FBtr0083546	1468	1287.41	0	0
FBtr0081965	1575	1394.41	1250	28.1445
FBtr0304865	4033	3852.41	689.011	5.61523
FBtr0304867	4472	4291.41	970.989	7.10375
FBtr0078662	2088	1907.41	0	0
FBtr0114518	2144	1963.41	0	0
FBtr0078664	2368	2187.41	258.565	3.71119
FBtr0078661	2289	2108.41	555.967	8.2788
FBtr0078663	2209	2028.41	403.468	6.24492
FBtr0308064	274	122.141	211	54.2369
FBtr0333547	2505	2324.41	93.4664	1.26246
FBtr0333546	2211	2030.41	5.0281	0.0777487
FBtr0070027	2221	2040.41	311.505	4.79316
FBtr0082315	2659	2478.41	77.7956	0.985497
FBtr0112789	3223	3042.41	123.204	1.2714
FBtr0300704	1885	1704.41	114.929	2.11703
FBtr0113705	2134	1953.41	1577.18	25.349
FBtr0344847	1907	1726.41	0	0
FBtr0300702	1875	1694.41	150.954	2.79705
FBtr0300703	2196	2015.41	148.178	2.30831
FBtr0113704	2144	1963.41	7101.76	113.561
FBtr0344118	2561	2380.41	7.19914	0.0949516
FBtr0084910	2101	1920.41	0	0
FBtr0084911	2164	1983.41	56.8117	0.899288
FBtr0300819	2782	2601.41	103.724	1.25183
FBtr0300820	2422	2241.41	0.171126	0.002397
FBtr0084909	2566	2385.41	845.094	11.1228
FBtr0084869	1894	1713.41	360.707	6.60947
FBtr0089712	3679	3498.41	14721.8	132.119
FBtr0339820	4100	3919.41	1514.3	12.1301
FBtr0339819	3461	3280.41	624.591	5.97779
FBtr0303415	4077	3896.41	17.2811	0.139245
FBtr0331996	4411	4230.41	65.7582	0.488024
FBtr0331997	4647	4466.41	938.123	6.59439
FBtr0301019	4389	4208.41	270.119	2.01516
FBtr0100327	2981	2800.41	31	0.347547
FBtr0343641	3426	3245.41	0	0
FBtr0071757	4409	4228.41	92.2938	0.685281
FBtr0308239	4638	4457.41	613.765	4.32307
FBtr0071756	4243	4062.41	150.942	1.16654
FBtr0075318	8461	8280.41	2832.33	10.739
FBtr0305085	8449	8268.41	0	0
FBtr0333626	8076	7895.41	0	0
FBtr0330189	8301	8120.41	0	0
FBtr0305084	7990	7809.41	511.428	2.05608
FBtr0330190	8449	8268.41	0	0
FBtr0333625	8067	7886.41	23.8234	0.0948412
FBtr0305086	7842	7661.41	543.421	2.2269
FBtr0076694	3199	3018.41	623.346	6.48372
FBtr0091746	1336	1155.41	3.8687	0.105124
FBtr0306927	4314	4133.41	165	1.25328
FBtr0334760	727	546.472	0	0
FBtr0100503	403	232.59	0	0
FBtr0077144	1521	1340.41	9329.39	218.519
FBtr0306086	1145	964.409	2809.61	91.4656
FBtr0340353	8788	8607.41	461.71	1.68411
FBtr0340351	9220	9039.41	0	0
FBtr0340350	9002	8821.41	0	0
FBtr0340352	8558	8377.41	124.056	0.464924
FBtr0340354	8564	8383.41	118.17	0.442546
FBtr0340355	7414	7233.41	889.064	3.8589
FBtr0086536	1596	1415.41	40861.7	906.375
FBtr0086537	1701	1520.41	79.7791	1.64741
FBtr0070738	6606	6425.41	423.154	2.06762
FBtr0070740	5946	5765.41	690.859	3.76212
FBtr0100408	5948	5767.41	41.7712	0.227389
FBtr0070739	5518	5337.41	559.215	3.28944
FBtr0301914	6763	6582.41	0.000113719	5.424e-07
FBtr0080656	563	384.086	544.875	44.5392
FBtr0343706	521	343.29	7.97813	0.729648
FBtr0302946	383	214.203	7443.15	1090.95
FBtr0301477	4782	4601.41	89.2954	0.609272
FBtr0306350	2503	2322.41	361.427	4.88602
FBtr0306351	2221	2040.41	180.005	2.76974
FBtr0330046	2653	2472.41	547.637	6.95417
FBtr0301478	2790	2609.41	0	0
FBtr0089521	2653	2472.41	547.637	6.95417
FBtr0300884	4898	4717.41	719.656	4.78955
FBtr0300882	4892	4711.41	4048.4	26.9777
FBtr0300885	4919	4738.41	3859.88	25.5749
FBtr0300886	5268	5087.41	991.066	6.11617
FBtr0070272	2139	1958.41	221	3.54293
FBtr0113469	6298	6117.41	82.4342	0.423071
FBtr0091533	6079	5898.41	1136.67	6.05022
FBtr0081048	909	728.409	0.0228462	0.000984716
FBtr0329926	906	725.409	2.97715	0.128852
FBtr0331279	411	239.861	0	0
FBtr0306048	1223	1042.41	2.19193	0.0660179
FBtr0345656	5093	4912.41	3.80807	0.0243379
FBtr0110838	6234	6053.41	7	0.0363054
FBtr0333123	1100	919.409	22.9852	0.784898
FBtr0075201	980	799.409	1159.01	45.519
FBtr0308601	1556	1375.41	1	0.0228266
FBtr0346350	2380	2199.41	0	0
FBtr0333306	1668	1487.41	205.923	4.34659
FBtr0071465	1150	969.409	290.217	9.39915
FBtr0082368	1909	1728.41	736	13.3692
FBtr0072553	1422	1241.41	4	0.101162
FBtr0081407	662	481.725	0	0
FBtr0080119	2993	2812.41	297	3.31552
FBtr0332091	7868	7687.41	369.2	1.50784
FBtr0075562	7222	7041.41	4109.8	18.3246
FBtr0302392	219	81.2414	0	0
FBtr0302971	813	632.409	4	0.19858
FBtr0303249	887	706.409	30.9925	1.37744
FBtr0110947	892	711.409	0.00752945	0.00033229
FBtr0333413	1540	1359.41	789.796	18.2405
FBtr0079683	1684	1503.41	4.53084	0.0946182
FBtr0333414	1687	1506.41	1.67334	0.0348751
FBtr0072576	2694	2513.41	3086	38.5484
FBtr0334302	4002	3821.41	156.273	1.28391
FBtr0082031	3999	3818.41	402.727	3.31132
FBtr0079550	1502	1321.41	1443.83	34.3046
FBtr0343384	1440	1259.41	22.169	0.552654
FBtr0330045	2512	2331.41	457	6.15419
FBtr0082987	1415	1234.41	0	0
FBtr0301428	2661	2480.41	82.2	1.04045
FBtr0301429	2872	2691.41	100.883	1.17683
FBtr0301431	3360	3179.41	242.464	2.39427
FBtr0301430	3149	2968.41	218.453	2.31051
FBtr0340558	1229	1048.41	0	0
FBtr0080177	1082	901.409	0	0
FBtr0343610	5025	4844.41	295.425	1.91461
FBtr0343608	4211	4030.41	952.304	7.41822
FBtr0343609	4032	3851.41	110.123	0.897704
FBtr0079957	4223	4042.41	118.595	0.921081
FBtr0303907	4127	3946.41	343.581	2.73338
FBtr0303906	4081	3900.41	176.255	1.41875
FBtr0303905	4119	3938.41	130.718	1.04205
FBtr0088650	2014	1833.41	2213	37.8962
FBtr0273339	1383	1202.41	1328.08	34.6774
FBtr0301167	1029	848.409	543.915	20.1279
FBtr0347550	3326	3145.41	266.153	2.65661
FBtr0078958	1114	933.409	1213.25	40.8086
FBtr0075478	694	513.527	2	0.122276
FBtr0078567	882	701.409	0	0
FBtr0071225	1165	984.409	1018.88	32.4953
FBtr0345985	1286	1105.41	205.616	5.83993
FBtr0340217	5681	5500.41	256.263	1.46273
FBtr0086904	5684	5503.41	4149.74	23.6735
FBtr0306284	372	204.377	0	0
FBtr0347283	774	593.472	23.5914	1.24804
FBtr0075651	4329	4148.41	183.018	1.38511
FBtr0075652	3921	3740.41	422.982	3.55039
FBtr0332622	8259	8078.41	590.212	2.2938
FBtr0308328	8643	8462.41	593.497	2.2019
FBtr0308327	8457	8276.41	104.57	0.39668
FBtr0308325	7938	7757.41	1839.95	7.44666
FBtr0308329	7097	6916.41	13.5374	0.0614506
FBtr0332621	6223	6042.41	14.2371	0.0739747
FBtr0308326	6286	6105.41	0	0
FBtr0345197	13125	12944.4	2338.02	5.67074
FBtr0333706	10897	10716.4	0	0
FBtr0089106	6189	6008.41	4028.76	21.0516
FBtr0309088	2778	2597.41	512.201	6.19117
FBtr0309089	4262	4081.41	1407.6	10.8278
FBtr0076486	2394	2213.41	596.112	8.45551
FBtr0332592	2813	2632.41	21.0467	0.251018
FBtr0332591	2322	2141.41	345.212	5.06128
FBtr0074079	2391	2210.41	4301.74	61.1005
FBtr0088643	4091	3910.41	760.284	6.10418
FBtr0088642	4088	3907.41	743.878	5.97704
FBtr0345224	4148	3967.41	229.335	1.81484
FBtr0339302	4145	3964.41	56.5028	0.447471
FBtr0334821	1627	1446.41	0	0
FBtr0334822	1744	1563.41	0	0
FBtr0077938	1511	1330.41	0	0
FBtr0077936	1454	1273.41	7	0.172585
FBtr0077937	1565	1384.41	0	0
FBtr0077939	1628	1447.41	0	0
FBtr0072121	849	668.409	0	0
FBtr0079601	888	707.409	615	27.2947
FBtr0073141	1708	1527.41	79	1.62385
FBtr0084278	477	301.262	12	1.25058
FBtr0307312	9817	9636.41	109.675	0.357328
FBtr0307309	9968	9787.41	147.937	0.474549
FBtr0307310	9842	9661.41	1096.39	3.56285
FBtr0307311	10170	9989.41	8.71814e-07	2.74004e-09
FBtr0078345	633	452.864	22	1.5252
FBtr0079495	3264	3083.41	5142.56	52.3626
FBtr0343404	3495	3314.41	430.443	4.07739
FBtr0083964	564	385.047	37755	3078.46
FBtr0078184	1305	1124.41	272	7.59482
FBtr0072722	2846	2665.41	271.716	3.20056
FBtr0072721	2576	2395.41	0	0
FBtr0331865	2640	2459.41	11335.3	144.702
FBtr0078208	1344	1163.41	5	0.134931
FBtr0433512	2455	2274.41	0	0
FBtr0303407	2132	1951.41	51.2364	0.824334
FBtr0078712	1080	899.409	682.189	23.8133
FBtr0081206	1604	1423.41	213	4.69811
FBtr0113310	1466	1285.41	0	0
FBtr0339141	1600	1419.41	216	4.77771
FBtr0303841	1379	1198.41	0	0
FBtr0088997	1432	1251.41	928	23.2821
FBtr0085512	862	681.409	7015.2	323.225
FBtr0080055	1405	1224.41	9	0.230775
FBtr0301742	279	126.041	428	106.612
FBtr0331219	2907	2726.41	52.8222	0.608274
FBtr0331218	9186	9005.41	912.213	3.18029
FBtr0331221	8906	8725.41	1.57047e-08	5.65089e-11
FBtr0331217	2882	2701.41	15.1103	0.175613
FBtr0331220	9009	8828.41	329.709	1.17252
FBtr0290295	2768	2587.41	0	0
FBtr0331216	9188	9007.41	12.6517	0.0440983
FBtr0331222	763	582.472	25.4941	1.37416
FBtr0301972	783	602.472	0	0
FBtr0075322	4158	3977.41	1018.08	8.03624
FBtr0075323	3177	2996.41	66.2081	0.693719
FBtr0304018	3523	3342.41	2054.13	19.2949
FBtr0082268	487	310.827	9	0.909069
FBtr0078992	2411	2230.41	245	3.4487
FBtr0075971	1337	1156.41	167.543	4.5487
FBtr0332644	1805	1624.41	209.862	4.05613
FBtr0343726	4924	4743.41	0	0
FBtr0343727	4695	4514.41	547	3.80417
FBtr0080801	3399	3218.41	0	0
FBtr0085179	1931	1750.41	1125	20.1784
FBtr0334732	1852	1671.41	1.51708e-08	2.84969e-10
FBtr0084435	712	531.527	864	51.0343
FBtr0333359	8539	8358.41	0	0
FBtr0347066	8335	8154.41	986.57	3.79847
FBtr0072747	8339	8158.41	1357.35	5.22348
FBtr0303993	8076	7895.41	34.7804	0.138304
FBtr0082776	863	682.409	19	0.874142
FBtr0083698	3561	3380.41	3086.08	28.6623
FBtr0334522	3913	3732.41	381.11	3.20578
FBtr0083699	3740	3559.41	602.815	5.31715
FBtr0083123	1806	1625.41	374	7.22407
FBtr0073670	1180	999.409	84	2.63882
FBtr0346294	904	723.409	0	0
FBtr0074584	841	660.409	0	0
FBtr0084203	1178	997.409	38	1.19614
FBtr0075503	431	258.207	7	0.851144
FBtr0071940	3781	3600.41	34.0069	0.296544
FBtr0071878	678	497.577	1	0.0630976
FBtr0074217	1666	1485.41	10577.3	223.565
FBtr0334992	1631	1450.41	190.092	4.11478
FBtr0334991	1534	1353.41	614.101	14.2457
FBtr0334990	1621	1440.41	113.486	2.4736
FBtr0334641	7845	7664.41	0	0
FBtr0334640	7572	7391.41	2107.39	8.95139
FBtr0112788	7572	7391.41	187.323	0.795679
FBtr0300945	5982	5801.41	4960.46	26.8449
FBtr0088089	5273	5092.41	0	0
FBtr0306029	5832	5651.41	1501.54	8.34166
FBtr0300299	542	363.648	168.683	14.5634
FBtr0303283	663	482.725	13	0.845506
FBtr0082690	968	787.409	3665	146.132
FBtr0075544	1414	1233.41	8	0.203637
FBtr0084225	2337	2156.41	75	1.09195
FBtr0084554	1241	1060.41	992.504	29.3854
FBtr0088251	1100	919.409	568	19.396
FBtr0075348	623	443.088	23	1.62971
FBtr0307592	1036	855.409	662.833	24.3278
FBtr0307591	716	535.527	189.394	11.1035
FBtr0307593	1134	953.409	17.6432	0.580995
FBtr0088981	1711	1530.41	1276.8	26.1932
FBtr0082830	999	818.409	593	22.7487
FBtr0073752	1359	1178.41	15	0.399639
FBtr0073172	1075	894.409	422.094	14.8165
FBtr0083484	1060	879.409	92	3.28451
FBtr0334920	644	463.773	0.0477575	0.00323303
FBtr0343101	702	521.527	442.952	26.6658
FBtr0073534	1246	1065.41	96.2068	2.83506
FBtr0073532	1076	895.409	20.0067	0.701499
FBtr0073533	1155	974.409	361.786	11.6569
FBtr0081554	1426	1245.41	2	0.0504186
FBtr0333730	597	417.522	16.9553	1.27496
FBtr0070405	653	472.773	665.045	44.1643
FBtr0088310	2481	2300.41	537	7.32896
FBtr0085561	2042	1861.41	35.3432	0.596125
FBtr0310420	1884	1703.41	1926.66	35.5107
FBtr0309175	598	418.522	0	0
FBtr0074130	2575	2394.41	4032	52.8683
FBtr0071834	2099	1918.41	462	7.56091
FBtr0089479	2771	2590.41	193.78	2.34862
FBtr0089478	2863	2682.41	134.665	1.57617
FBtr0331561	2723	2542.41	479.555	5.92197
FBtr0300082	7593	7412.41	6991.05	29.6112
FBtr0300080	4495	4314.41	4170.96	30.3521
FBtr0300083	6021	5840.41	17.6974	0.0951347
FBtr0300081	3290	3109.41	1103.22	11.1393
FBtr0300084	4316	4135.41	292.542	2.22097
FBtr0074830	1113	932.409	5250.42	176.791
FBtr0301126	1230	1049.41	39.9319	1.19467
FBtr0332771	1073	892.409	101.218	3.56097
FBtr0300813	1005	824.409	5.39551	0.205477
